"","year","month","mean_temp_ger"
"1",1881,"01",-5.36
"2",1882,"01",0.41
"3",1883,"01",-0.32
"4",1884,"01",2.86
"5",1885,"01",-2.79
"6",1886,"01",-1.25
"7",1887,"01",-3.72
"8",1888,"01",-1.93
"9",1889,"01",-2.43
"10",1890,"01",2.04
"11",1891,"01",-4.54
"12",1892,"01",-1.76
"13",1893,"01",-7.26
"14",1894,"01",-1.83
"15",1895,"01",-4.03
"16",1896,"01",-0.76
"17",1897,"01",-2.85
"18",1898,"01",2.29
"19",1899,"01",2.13
"20",1900,"01",0.71
"21",1901,"01",-3.73
"22",1902,"01",2.76
"23",1903,"01",0.34
"24",1904,"01",-1.3
"25",1905,"01",-1.77
"26",1906,"01",1.03
"27",1907,"01",-0.32
"28",1908,"01",-2.2
"29",1909,"01",-1.64
"30",1910,"01",1.4
"31",1911,"01",-1.07
"32",1912,"01",-1.49
"33",1913,"01",-0.2
"34",1914,"01",-2.99
"35",1915,"01",0.2
"36",1916,"01",3.76
"37",1917,"01",-2.59
"38",1918,"01",0.69
"39",1919,"01",0.67
"40",1920,"01",2.3
"41",1921,"01",4.2
"42",1922,"01",-2.68
"43",1923,"01",1.51
"44",1924,"01",-2.89
"45",1925,"01",2.49
"46",1926,"01",-0.02
"47",1927,"01",1.77
"48",1928,"01",1.57
"49",1929,"01",-4.69
"50",1930,"01",2.28
"51",1931,"01",0.18
"52",1932,"01",1.82
"53",1933,"01",-2.6
"54",1934,"01",0.45
"55",1935,"01",-0.76
"56",1936,"01",3.05
"57",1937,"01",-0.84
"58",1938,"01",1.69
"59",1939,"01",2.55
"60",1940,"01",-9
"61",1941,"01",-5.37
"62",1942,"01",-7.87
"63",1943,"01",-0.4
"64",1944,"01",3.13
"65",1945,"01",-4.03
"66",1946,"01",-1.77
"67",1947,"01",-4.7
"68",1948,"01",3.1
"69",1949,"01",1.24
"70",1950,"01",-1.01
"71",1951,"01",1.47
"72",1952,"01",0.2
"73",1953,"01",-0.79
"74",1954,"01",-3.24
"75",1955,"01",-1.7
"76",1956,"01",0.23
"77",1957,"01",0.28
"78",1958,"01",-0.39
"79",1959,"01",-0.07
"80",1960,"01",-0.09
"81",1961,"01",-0.77
"82",1962,"01",1.67
"83",1963,"01",-7.39
"84",1964,"01",-2.56
"85",1965,"01",1.22
"86",1966,"01",-2.66
"87",1967,"01",0.72
"88",1968,"01",-1.08
"89",1969,"01",0.45
"90",1970,"01",-2.56
"91",1971,"01",-1.07
"92",1972,"01",-2.34
"93",1973,"01",0.04
"94",1974,"01",3.31
"95",1975,"01",4.5
"96",1976,"01",1.16
"97",1977,"01",0.4
"98",1978,"01",0.75
"99",1979,"01",-4.5
"100",1980,"01",-2.66
"101",1981,"01",-1.51
"102",1982,"01",-2.28
"103",1983,"01",3.97
"104",1984,"01",1.07
"105",1985,"01",-5.51
"106",1986,"01",0.09
"107",1987,"01",-5.91
"108",1988,"01",3.5
"109",1989,"01",2.45
"110",1990,"01",2.53
"111",1991,"01",1.49
"112",1992,"01",0.97
"113",1993,"01",2.46
"114",1994,"01",2.96
"115",1995,"01",0.18
"116",1996,"01",-2.82
"117",1997,"01",-2.63
"118",1998,"01",2.39
"119",1999,"01",2.6
"120",2000,"01",1.06
"121",2001,"01",0.87
"122",2002,"01",1.19
