"date","new_cases_per_million"
"2020-01-27",0.012
"2020-01-28",0.036
"2020-01-29",0
"2020-01-30",0
"2020-01-31",0.012
"2020-02-01",0.036
"2020-02-02",0.024
"2020-02-03",0.024
"2020-02-04",0
"2020-02-05",0
"2020-02-06",0
"2020-02-07",0.012
"2020-02-08",0
"2020-02-09",0.012
"2020-02-10",0
"2020-02-11",0.024
"2020-02-12",0
"2020-02-13",0
"2020-02-14",0
"2020-02-15",0
"2020-02-16",0
"2020-02-17",0
"2020-02-18",0
"2020-02-19",0
"2020-02-20",0
"2020-02-21",0
"2020-02-22",0
"2020-02-23",0
"2020-02-24",0
"2020-02-25",0
"2020-02-26",0.06
"2020-02-27",0.06
"2020-02-28",0.324
"2020-02-29",0.156
"2020-03-01",0.612
"2020-03-02",0.396
"2020-03-03",0.456
"2020-03-04",0.624
"2020-03-05",1.307
"2020-03-06",2.219
"2020-03-07",1.799
"2020-03-08",1.955
"2020-03-09",3.179
"2020-03-10",2.207
"2020-03-11",3.251
"2020-03-12",9.62
"2020-03-13",8.312
"2020-03-14",8.792
"2020-03-15",12.511
"2020-03-16",14.082
"2020-03-17",13.722
"2020-03-18",12.499
"2020-03-19",33.597
"2020-03-20",35.48
"2020-03-21",32.446
"2020-03-22",23.366
"2020-03-23",48.723
"2020-03-24",57.143
"2020-03-25",49.394
"2020-03-26",59.422
"2020-03-27",69.33
"2020-03-28",75.495
"2020-03-29",47.559
"2020-03-30",56.987
"2020-03-31",55.356
"2020-04-01",65.407
"2020-04-02",73.84
"2020-04-03",74.056
"2020-04-04",72.952
"2020-04-05",71.201
"2020-04-06",44.105
"2020-04-07",45.988
"2020-04-08",48.015
"2020-04-09",59.662
"2020-04-10",63.848
"2020-04-11",49.574
"2020-04-12",33.837
"2020-04-13",30.431
"2020-04-14",24.973
"2020-04-15",29.819
"2020-04-16",34.377
"2020-04-17",40.542
"2020-04-18",43.289
"2020-04-19",29.483
"2020-04-20",21.291
"2020-04-21",21.411
"2020-04-22",26.832
"2020-04-23",28.212
"2020-04-24",28.032
"2020-04-25",24.649
"2020-04-26",20.835
"2020-04-27",12.211
"2020-04-28",13.722
"2020-04-29",15.641
"2020-04-30",17.728
"2020-05-01",19.659
"2020-05-02",11.335
"2020-05-03",9.512
"2020-05-04",8.144
"2020-05-05",8.216
"2020-05-06",11.359
"2020-05-07",15.401
"2020-05-08",14.502
"2020-05-09",15.005
"2020-05-10",8
"2020-05-11",4.282
"2020-05-12",11.191
"2020-05-13",9.572
"2020-05-14",11.191
"2020-05-15",10.951
"2020-05-16",7.437
"2020-05-17",6.993
"2020-05-18",4.102
"2020-05-19",6.153
"2020-05-20",9.56
"2020-05-21",8.936
"2020-05-22",5.518
"2020-05-23",7.653
"2020-05-24",5.17
"2020-05-25",3.466
"2020-05-26",5.182
"2020-05-27",4.342
"2020-05-28",4.234
"2020-05-29",8.888
"2020-05-30",8.852
"2020-05-31",3.43
"2020-06-01",3.994
"2020-06-02",2.555
"2020-06-03",4.102
"2020-06-04",4.726
"2020-06-05",6.081
"2020-06-06",4.882
"2020-06-07",3.61
"2020-06-08",2.567
"2020-06-09",4.198
"2020-06-10",3.814
"2020-06-11",6.657
"2020-06-12",3.095
"2020-06-13",4.174
"2020-06-14",2.963
"2020-06-15",2.303
"2020-06-16",4.534
"2020-06-17",4.138
"2020-06-18",6.957
"2020-06-19",9.236
"2020-06-20",7.209
"2020-06-21",8.24
"2020-06-22",6.441
"2020-06-23",6.033
"2020-06-24",7.041
"2020-06-25",7.557
"2020-06-26",5.721
"2020-06-27",8.24
"2020-06-28",3.071
"2020-06-29",3.143
"2020-06-30",5.973
"2020-07-01",5.59
"2020-07-02",6.033
"2020-07-03",5.35
"2020-07-04",5.062
"2020-07-05",2.867
"2020-07-06",2.627
"2020-07-07",4.678
"2020-07-08",4.762
"2020-07-09",5.302
"2020-07-10",4.738
"2020-07-11",4.534
"2020-07-12",2.975
"2020-07-13",1.907
"2020-07-14",4.942
"2020-07-15",4.21
"2020-07-16",6.405
"2020-07-17",6.993
"2020-07-18",6.345
"2020-07-19",2.423
"2020-07-20",2.987
"2020-07-21",6.261
"2020-07-22",5.446
"2020-07-23",6.825
"2020-07-24",9.776
"2020-07-25",9.368
"2020-07-26",3.658
