"date","new_deaths_per_million"
"2020-03-09",0.024
"2020-03-10",0
"2020-03-11",0.012
"2020-03-12",0.024
"2020-03-13",0
"2020-03-14",0.036
"2020-03-15",0.048
"2020-03-16",0
"2020-03-17",0
"2020-03-18",0
"2020-03-19",0.096
"2020-03-20",0.132
"2020-03-21",0.192
"2020-03-22",0.096
"2020-03-23",0.372
"2020-03-24",0.336
"2020-03-25",0.42
"2020-03-26",0.588
"2020-03-27",0.66
"2020-03-28",0.864
"2020-03-29",0.768
"2020-03-30",0.792
"2020-03-31",1.535
"2020-04-01",1.787
"2020-04-02",1.679
"2020-04-03",1.739
"2020-04-04",1.691
"2020-04-05",2.207
"2020-04-06",1.104
"2020-04-07",2.075
"2020-04-08",3.047
"2020-04-09",2.951
"2020-04-10",3.191
"2020-04-11",2.051
"2020-04-12",1.547
"2020-04-13",1.511
"2020-04-14",2.039
"2020-04-15",3.419
"2020-04-16",3.778
"2020-04-17",3.586
"2020-04-18",2.903
"2020-04-19",2.207
"2020-04-20",1.319
"2020-04-21",2.327
"2020-04-22",3.371
"2020-04-23",2.579
"2020-04-24",2.723
"2020-04-25",2.147
"2020-04-26",1.679
"2020-04-27",1.319
"2020-04-28",1.955
"2020-04-29",2.423
"2020-04-30",2.075
"2020-05-01",2.315
"2020-05-02",1.128
"2020-05-03",0.888
"2020-05-04",0.516
"2020-05-05",1.667
"2020-05-06",1.979
"2020-05-07",1.475
"2020-05-08",1.763
"2020-05-09",1.235
"2020-05-10",0.312
"2020-05-11",0.264
"2020-05-12",1.391
"2020-05-13",1.211
"2020-05-14",1.068
"2020-05-15",1.211
"2020-05-16",0.684
"2020-05-17",0.396
"2020-05-18",0.252
"2020-05-19",0.864
"2020-05-20",0.996
"2020-05-21",0.684
"2020-05-22",0.324
"2020-05-23",0.504
"2020-05-24",0.372
"2020-05-25",0.12
"2020-05-26",0.54
"2020-05-27",0.564
"2020-05-28",0.744
"2020-05-29",0.468
"2020-05-30",0.468
"2020-05-31",0.132
"2020-06-01",0.132
"2020-06-02",0.132
"2020-06-03",0.348
"2020-06-04",0.36
"2020-06-05",0.384
"2020-06-06",0.396
"2020-06-07",0.264
"2020-06-08",0.072
"2020-06-09",0.444
"2020-06-10",0.216
"2020-06-11",0.312
"2020-06-12",0.096
"2020-06-13",0.216
"2020-06-14",0.072
"2020-06-15",0.048
"2020-06-16",0.108
"2020-06-17",0.36
"2020-06-18",0.312
"2020-06-19",0.192
"2020-06-20",0.132
"2020-06-22",0.036
"2020-06-23",0.12
"2020-06-24",0.228
"2020-06-25",0.156
"2020-06-26",0.252
"2020-06-27",0.072
"2020-06-28",0.036
"2020-06-29",0.048
"2020-06-30",0.144
"2020-07-01",0.144
"2020-07-02",0.108
"2020-07-03",0.108
"2020-07-04",0.084
"2020-07-05",0.024
"2020-07-06",0.048
"2020-07-07",0.096
"2020-07-08",0.144
"2020-07-09",0.144
"2020-07-10",0.072
"2020-07-11",0.072
"2020-07-12",0.036
"2020-07-13",0.012
"2020-07-14",0.048
"2020-07-15",0.036
"2020-07-16",0.084
"2020-07-17",0.048
"2020-07-18",0.012
"2020-07-19",0.012
"2020-07-20",0.024
"2020-07-21",0.048
"2020-07-22",0.06
"2020-07-23",0.072
"2020-07-24",0.12
"2020-07-25",0.084
"2020-07-26",0
"2020-07-27",0
"2020-07-28",0.048
"2020-07-29",0.072
"2020-07-30",0.072
"2020-07-31",0.084
"2020-08-01",0.084
"2020-08-03",0.084
"2020-08-04",0.096
"2020-08-05",0.144
"2020-08-06",0.084
"2020-08-07",0.096
"2020-08-08",0.144
"2020-08-09",0.012
"2020-08-10",0.012
"2020-08-11",0.048
"2020-08-12",0.072
"2020-08-13",0.048
"2020-08-14",0.168
"2020-08-15",0.072
"2020-08-16",0
"2020-08-17",0.012
"2020-08-18",0.048
"2020-08-19",0.084
"2020-08-20",0.12
"2020-08-21",0.084
"2020-08-22",0.084
"2020-08-23",0.024
"2020-08-24",0.036
"2020-08-25",0.06
"2020-08-26",0.036
"2020-08-27",0.06
"2020-08-28",0.036
"2020-08-29",0.012
"2020-08-30",0.072
"2020-08-31",0.036
"2020-09-01",0.048
"2020-09-02",0.132
"2020-09-03",0.096
"2020-09-04",0.012
"2020-09-05",0.024
"2020-09-06",0.012
"2020-09-07",0
"2020-09-08",0.048
"2020-09-09",0.108
"2020-09-10",0.036
"2020-09-11",0.012
"2020-09-12",0.06
"2020-09-13",0.024
"2020-09-14",0.012
"2020-09-15",0.144
"2020-09-16",0.072
"2020-09-17",0.036
"2020-09-18",0.084
"2020-09-19",0.072
"2020-09-20",0.024
"2020-09-21",0
"2020-09-22",0.12
"2020-09-23",0.156
"2020-09-24",0.228
"2020-09-25",0.18
"2020-09-26",0.108
"2020-09-27",0.06
"2020-09-28",0.036
"2020-09-29",0.132
"2020-09-30",0.204
"2020-10-01",0.144
"2020-10-02",0.096
"2020-10-03",0.228
"2020-10-04",0.024
"2020-10-05",0.06
"2020-10-06",0.144
"2020-10-07",0.192
"2020-10-08",0.192
"2020-10-09",0.132
"2020-10-10",0.18
"2020-10-11",0.132
"2020-10-12",0.072
"2020-10-13",0.156
"2020-10-14",0.516
"2020-10-15",0.396
"2020-10-16",0.288
"2020-10-17",0.396
"2020-10-18",0.12
"2020-10-19",0.144
"2020-10-20",0.564
"2020-10-21",0.468
"2020-10-22",0.36
"2020-10-23",0.588
