Hoell, Larsson et al: Supplementary Dataset 2;;;;;;;;;;
;;;;;;;;;;
Transcripts: All transcripts annotated to this gene in RefSeq;;;;;;;;;;
Gene size: Base pairs from 5'-most transcript start to 3'-most transcript end;;;;;;;;;;
CCs: Crosslinked clusters (binding sites) with >= 10 reads and 25% T-to-C changes;;;;;;;;;;
Features: Number of binding sites in introns|5'UTR|CDS|3'UTR|non-coding transcript|ambigous;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Gene;Transcripts;Gene size;FUS CCs;Features;EWSR1 CCs;Features;TAF15 CCs;Features;Mutant FUS CCs;Features
AAAS;NM_015665,NM_001173466;14173;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
AACS;NM_023928;77947;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AAGAB;NM_024666;53708;10;10|0|0|0|0|0;2;2|0|0|0|0|0;3;3|0|0|0|0|0;1;0|0|0|1|0|0
AAK1;NM_014911;185851;2;0|0|0|2|0|0;4;0|0|0|4|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
AARS;NM_001605;37116;2;1|0|1|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0
AASDH;NM_181806;49182;0;0|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AASDHPPT;NM_015423;21128;4;2|0|1|1|0|0;1;0|0|1|0|0|0;3;0|0|1|2|0|0;7;0|0|3|4|0|0
AASS;NM_005763;70747;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AATF;NM_012138;107997;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABCA11P;NR_002451;48775;2;1|0|0|0|1|0;1;1|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0
ABCA13;NM_152701;449249;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0
ABCA3;NM_001089;64869;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABCA5;NM_018672,NM_172232;82748;0;0|0|0|0|0|0;2;1|0|1|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
ABCB1;NM_000927;209617;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
